,PeopleInHousehold,MetroAreaCode,Age,Hispanic,CountryOfBirthCode,Region_num,State_num,Married_num,Sex_num,Education_num,Race_num,Citizenship_num,EmploymentStatus_num,Industry_num
1,3,13820.0,21,0,57,2.0,0.0,2.0,1.0,3.0,2.0,0.0,4.0,10.0
4,3,26620.0,52,0,57,2.0,0.0,4.0,0.0,0.0,5.0,0.0,1.0,10.0
5,3,26620.0,24,0,57,2.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,3.0
6,3,26620.0,26,0,57,2.0,0.0,2.0,1.0,3.0,5.0,0.0,1.0,13.0
7,2,33660.0,71,0,57,2.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,3.0
9,2,26620.0,52,0,57,2.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,11.0
10,2,26620.0,29,0,57,2.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,6.0
12,4,26620.0,24,0,57,2.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,10.0
15,4,26620.0,22,0,57,2.0,0.0,2.0,0.0,7.0,5.0,0.0,1.0,3.0
16,2,13820.0,40,0,341,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0
18,1,33860.0,42,0,57,2.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0
19,2,33660.0,45,0,233,2.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0
20,2,33660.0,48,0,57,2.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,11.0
22,4,13820.0,52,0,57,2.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,3.0
25,3,33860.0,30,0,362,2.0,0.0,1.0,0.0,7.0,5.0,2.0,1.0,10.0
26,3,33860.0,33,0,57,2.0,0.0,1.0,1.0,7.0,5.0,0.0,1.0,12.0
29,3,13820.0,24,0,57,2.0,0.0,2.0,1.0,7.0,2.0,0.0,1.0,10.0
30,3,13820.0,29,0,57,2.0,0.0,2.0,1.0,7.0,2.0,0.0,1.0,12.0
33,6,33860.0,52,0,57,2.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,7.0
36,6,33860.0,20,0,57,2.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,7.0
37,6,33860.0,23,0,57,2.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,7.0
40,2,13820.0,55,0,57,2.0,0.0,1.0,1.0,7.0,2.0,0.0,1.0,6.0
41,2,13820.0,48,0,57,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0
46,2,26620.0,24,0,57,2.0,0.0,2.0,0.0,7.0,5.0,0.0,1.0,6.0
48,4,33660.0,49,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,12.0
49,4,33660.0,47,0,57,2.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0
53,2,33660.0,63,0,57,2.0,0.0,1.0,1.0,4.0,5.0,0.0,1.0,12.0
58,5,33860.0,33,0,57,2.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,6.0
64,1,33860.0,73,0,57,2.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,9.0
65,2,26620.0,66,0,57,2.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,12.0
67,2,26620.0,52,0,57,2.0,0.0,1.0,1.0,7.0,5.0,0.0,1.0,9.0
68,2,26620.0,46,0,57,2.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,7.0
69,1,26620.0,23,0,57,2.0,0.0,2.0,0.0,1.0,5.0,0.0,1.0,7.0
71,3,13820.0,67,0,57,2.0,0.0,1.0,1.0,7.0,2.0,0.0,1.0,13.0
73,3,13820.0,66,0,57,2.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,7.0
74,4,13820.0,47,0,57,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,6.0
75,4,13820.0,46,0,57,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0
77,4,13820.0,21,0,57,2.0,0.0,2.0,1.0,7.0,2.0,0.0,4.0,6.0
78,2,33660.0,51,0,57,2.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,10.0
79,2,33660.0,45,0,57,2.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0
82,5,13820.0,45,0,57,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,13.0
